zone_id,zone_name,data_periods,day_type,day_part,segment_traffic,avg_speed_mph,free_flow_speed_mph,free_flow_factor,inferred_volume,speed_p5,speed_p15,speed_p85,speed_p95
,Stannage to San Pablo,"Jan 01, 2025 - Dec 31, 2025",0: All Days (M-Su),4: Peak PM (3pm-7pm),3478,17,29.128,0.58,False,2.0,5.0,25.0,28.0
,Stannage to San Pablo,"Jan 01, 2025 - Dec 31, 2025",0: All Days (M-Su),5: Late PM (7pm-12am),1451,20,29.128,0.679,False,3.0,10.0,27.0,30.0
,Stannage to San Pablo,"Jan 01, 2025 - Dec 31, 2025",1: Weekday (M-Th),0: All Day (12am-12am),11697,18,29.128,0.613,False,2.0,6.0,26.0,29.0
,Stannage to San Pablo,"Jan 01, 2025 - Dec 31, 2025",1: Weekday (M-Th),1: Early AM (12am-6am),199,22,29.128,0.755,False,6.0,12.0,28.0,32.0
,Stannage to San Pablo,"Jan 01, 2025 - Dec 31, 2025",1: Weekday (M-Th),2: Peak AM (6am-10am),2429,19,29.128,0.635,False,2.0,7.0,26.0,30.0
,Stannage to San Pablo,"Jan 01, 2025 - Dec 31, 2025",1: Weekday (M-Th),3: Mid-Day (10am-3pm),3884,18,29.128,0.611,False,2.0,6.0,26.0,29.0
,Stannage to San Pablo,"Jan 01, 2025 - Dec 31, 2025",1: Weekday (M-Th),4: Peak PM (3pm-7pm),3701,17,29.128,0.57,False,2.0,5.0,25.0,28.0
,Stannage to San Pablo,"Jan 01, 2025 - Dec 31, 2025",1: Weekday (M-Th),5: Late PM (7pm-12am),1483,20,29.128,0.674,False,3.0,9.0,26.0,30.0
,Stannage to San Pablo,"Jan 01, 2025 - Dec 31, 2025",2: Weekend (Sa-Su),0: All Day (12am-12am),8967,18,29.128,0.635,False,2.0,7.0,26.0,29.0
,Stannage to San Pablo,"Jan 01, 2025 - Dec 31, 2025",2: Weekend (Sa-Su),1: Early AM (12am-6am),249,22,29.128,0.747,False,7.0,12.0,28.0,32.0
,Stannage to San Pablo,"Jan 01, 2025 - Dec 31, 2025",2: Weekend (Sa-Su),2: Peak AM (6am-10am),894,20,29.128,0.694,False,3.0,9.0,28.0,31.0
,Stannage to San Pablo,"Jan 01, 2025 - Dec 31, 2025",2: Weekend (Sa-Su),3: Mid-Day (10am-3pm),3906,17,29.128,0.599,False,2.0,5.0,26.0,29.0
,Stannage to San Pablo,"Jan 01, 2025 - Dec 31, 2025",2: Weekend (Sa-Su),4: Peak PM (3pm-7pm),2730,18,29.128,0.631,False,2.0,7.0,26.0,29.0
,Stannage to San Pablo,"Jan 01, 2025 - Dec 31, 2025",2: Weekend (Sa-Su),5: Late PM (7pm-12am),1188,20,29.128,0.695,False,4.0,10.0,27.0,30.0
