data_periods,zone_id,zone_name,mode_of_travel,day_type,day_part,zone_traffic,output_unit
"Jan 01, 2022 - Aug 31, 2022",,Cedar to Sacramento,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),2: Peak AM (6am-10am),35,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Cedar to Sacramento,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),3: Mid-Day (10am-3pm),252,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Cedar to Sacramento,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),4: Peak PM (3pm-7pm),84,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Cedar to Sacramento,Pedestrian - StL Pedestrian Volume,2: Weekend (Sa-Su),5: Late PM (7pm-12am),19,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Pedestrian - StL Pedestrian Volume,0: All Days (M-Su),0: All Day (12am-12am),769,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Pedestrian - StL Pedestrian Volume,0: All Days (M-Su),1: Early AM (12am-6am),25,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Pedestrian - StL Pedestrian Volume,0: All Days (M-Su),2: Peak AM (6am-10am),153,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Pedestrian - StL Pedestrian Volume,0: All Days (M-Su),3: Mid-Day (10am-3pm),193,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Pedestrian - StL Pedestrian Volume,0: All Days (M-Su),4: Peak PM (3pm-7pm),304,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Pedestrian - StL Pedestrian Volume,0: All Days (M-Su),5: Late PM (7pm-12am),99,Average Daily Zone Traffic (StL Volume)
