data_periods,zone_id,zone_name,mode_of_travel,day_type,day_part,zone_traffic,output_unit
"Jan 01, 2022 - Aug 31, 2022",,Cedar to Sacramento,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),3: Mid-Day (10am-3pm),220,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Cedar to Sacramento,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),4: Peak PM (3pm-7pm),57,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Cedar to Sacramento,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),5: Late PM (7pm-12am),38,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Bicycle - StL Bicycle Volume,0: All Days (M-Su),0: All Day (12am-12am),560,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Bicycle - StL Bicycle Volume,0: All Days (M-Su),2: Peak AM (6am-10am),104,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Bicycle - StL Bicycle Volume,0: All Days (M-Su),3: Mid-Day (10am-3pm),179,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Bicycle - StL Bicycle Volume,0: All Days (M-Su),4: Peak PM (3pm-7pm),207,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Bicycle - StL Bicycle Volume,0: All Days (M-Su),5: Late PM (7pm-12am),66,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Bicycle - StL Bicycle Volume,1: Weekday (M-Th),0: All Day (12am-12am),519,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Bicycle - StL Bicycle Volume,1: Weekday (M-Th),2: Peak AM (6am-10am),106,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Bicycle - StL Bicycle Volume,1: Weekday (M-Th),3: Mid-Day (10am-3pm),162,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Bicycle - StL Bicycle Volume,1: Weekday (M-Th),4: Peak PM (3pm-7pm),180,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Bicycle - StL Bicycle Volume,1: Weekday (M-Th),5: Late PM (7pm-12am),75,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),0: All Day (12am-12am),654,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),2: Peak AM (6am-10am),73,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),3: Mid-Day (10am-3pm),259,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),4: Peak PM (3pm-7pm),247,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Gilman to Sacramento,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),5: Late PM (7pm-12am),81,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,McGee to Alameda,Bicycle - StL Bicycle Volume,0: All Days (M-Su),0: All Day (12am-12am),199,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,McGee to Alameda,Bicycle - StL Bicycle Volume,0: All Days (M-Su),2: Peak AM (6am-10am),58,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,McGee to Alameda,Bicycle - StL Bicycle Volume,0: All Days (M-Su),3: Mid-Day (10am-3pm),62,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,McGee to Alameda,Bicycle - StL Bicycle Volume,0: All Days (M-Su),4: Peak PM (3pm-7pm),63,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,McGee to Alameda,Bicycle - StL Bicycle Volume,0: All Days (M-Su),5: Late PM (7pm-12am),28,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,McGee to Alameda,Bicycle - StL Bicycle Volume,1: Weekday (M-Th),0: All Day (12am-12am),217,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,McGee to Alameda,Bicycle - StL Bicycle Volume,1: Weekday (M-Th),2: Peak AM (6am-10am),79,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,McGee to Alameda,Bicycle - StL Bicycle Volume,1: Weekday (M-Th),3: Mid-Day (10am-3pm),60,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,McGee to Alameda,Bicycle - StL Bicycle Volume,1: Weekday (M-Th),4: Peak PM (3pm-7pm),62,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,McGee to Alameda,Bicycle - StL Bicycle Volume,1: Weekday (M-Th),5: Late PM (7pm-12am),27,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,McGee to Alameda,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),0: All Day (12am-12am),202,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,McGee to Alameda,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),2: Peak AM (6am-10am),18,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,McGee to Alameda,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),3: Mid-Day (10am-3pm),70,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,McGee to Alameda,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),4: Peak PM (3pm-7pm),88,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,McGee to Alameda,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),5: Late PM (7pm-12am),26,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Peralta to Gilman,Bicycle - StL Bicycle Volume,0: All Days (M-Su),0: All Day (12am-12am),157,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Peralta to Gilman,Bicycle - StL Bicycle Volume,0: All Days (M-Su),2: Peak AM (6am-10am),18,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Peralta to Gilman,Bicycle - StL Bicycle Volume,0: All Days (M-Su),3: Mid-Day (10am-3pm),47,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Peralta to Gilman,Bicycle - StL Bicycle Volume,0: All Days (M-Su),4: Peak PM (3pm-7pm),86,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Peralta to Gilman,Bicycle - StL Bicycle Volume,0: All Days (M-Su),5: Late PM (7pm-12am),20,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Peralta to Gilman,Bicycle - StL Bicycle Volume,1: Weekday (M-Th),0: All Day (12am-12am),200,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Peralta to Gilman,Bicycle - StL Bicycle Volume,1: Weekday (M-Th),2: Peak AM (6am-10am),37,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Peralta to Gilman,Bicycle - StL Bicycle Volume,1: Weekday (M-Th),3: Mid-Day (10am-3pm),34,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Peralta to Gilman,Bicycle - StL Bicycle Volume,1: Weekday (M-Th),4: Peak PM (3pm-7pm),123,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Peralta to Gilman,Bicycle - StL Bicycle Volume,1: Weekday (M-Th),5: Late PM (7pm-12am),24,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Peralta to Gilman,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),0: All Day (12am-12am),146,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Peralta to Gilman,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),2: Peak AM (6am-10am),12,Average Daily Zone Traffic (StL Volume)
"Jan 01, 2022 - Aug 31, 2022",,Peralta to Gilman,Bicycle - StL Bicycle Volume,2: Weekend (Sa-Su),3: Mid-Day (10am-3pm),70,Average Daily Zone Traffic (StL Volume)
